Icing_Factor,Scenario,Mode,Generations,Capped_at_30,W_Econ,W_GHG,W_Social,Land_Sensitivity,Spill_Sensitivity,Diesel_Price,Capex_Factor,Demand_Factor,Optimal_Turbines,LCOE_Nominal,LCOE_Worst_Case,LCOE_Best_Case,Pct_Wind,Emissions_Intensity,Hybrid_Total_Emissions_tCO2,Baseline_Total_Emissions_tCO2,Payback_Year
0,Weight_Correlation,Greenfield,50,Yes,0.2,0.7,0.1,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.2,0.7,0.1,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.2,0.7,0.1,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.2,0.7,0.1,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.2,0.8,0.001,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.2,0.8,0.001,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.2,0.8,0.001,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.2,0.8,0.001,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.3,0.001,0.7,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.3,0.001,0.7,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.3,0.001,0.7,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.3,0.001,0.7,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.3,0.1,0.6,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.3,0.1,0.6,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.3,0.1,0.6,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.3,0.1,0.6,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.3,0.2,0.5,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.3,0.2,0.5,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.3,0.2,0.5,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.3,0.2,0.5,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.3,0.3,0.4,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.3,0.3,0.4,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.3,0.3,0.4,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.3,0.3,0.4,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.3,0.4,0.3,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.3,0.4,0.3,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.3,0.4,0.3,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.3,0.4,0.3,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.3,0.5,0.2,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.3,0.5,0.2,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.3,0.5,0.2,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,No,0.3,0.5,0.2,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,Yes,0.3,0.6,0.1,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
0,Weight_Correlation,Brownfield,50,Yes,0.3,0.6,0.1,0.8,0.8,0.78,1,1,5,0.1507,0.1572,0.145,80.37,170.86,1880.57,9579.1,11.12
0,Weight_Correlation,Greenfield,50,No,0.3,0.6,0.1,0.8,0.8,0.78,1,1,5,0.1663,0.1727,0.1606,80.37,170.86,1880.57,9579.1,13.62
